species_id,common_name_en,common_name_zh,scientific_name,species_type,iucn_status,china_protection_level,provinces,latitude,longitude,habitat_description,year,population,trend_direction,trend_percent_change,data_quality,primary_threats,conservation_measures,short_description
5,Crested Ibis,朱鹮,Nipponia nippon,Bird,Endangered,National Level I,"Shaanxi, Henan, Zhejiang",33.8,107.5,"Wetlands, rice paddies, forested areas near water",2020,4000,increasing,57042.9,estimate,"Habitat loss, Pesticide use, Limited genetic diversity","Captive breeding, Reintroduction programs, Habitat restoration, Protected areas","Dramatic conservation success. Rediscovered in 1981 with only 7 individuals. Now over 5,000 through intensive breeding and reintroduction programs."
5,Crested Ibis,朱鹮,Nipponia nippon,Bird,Endangered,National Level I,"Shaanxi, Henan, Zhejiang",33.8,107.5,"Wetlands, rice paddies, forested areas near water",2023,5000,increasing,71328.6,confirmed,"Habitat loss, Pesticide use, Limited genetic diversity","Captive breeding, Reintroduction programs, Habitat restoration, Protected areas","Dramatic conservation success. Rediscovered in 1981 with only 7 individuals. Now over 5,000 through intensive breeding and reintroduction programs."
6,Snow Leopard,雪豹,Panthera uncia,Mammal,Vulnerable,National Level I,"Tibet, Qinghai, Xinjiang, Gansu, Sichuan",36,90,"High mountain ranges, 3000-5500m elevation",2005,2000,stable,0,estimate,"Habitat degradation, Prey depletion, Retaliatory killing, Poaching","Nature reserves, Community-based conservation, Anti-poaching patrols",Lives in some of Earth's highest mountains. China hosts significant portion of global population. Elusive and rarely seen in wild.
6,Snow Leopard,雪豹,Panthera uncia,Mammal,Vulnerable,National Level I,"Tibet, Qinghai, Xinjiang, Gansu, Sichuan",36,90,"High mountain ranges, 3000-5500m elevation",2010,2100,stable,5,estimate,"Habitat degradation, Prey depletion, Retaliatory killing, Poaching","Nature reserves, Community-based conservation, Anti-poaching patrols",Lives in some of Earth's highest mountains. China hosts significant portion of global population. Elusive and rarely seen in wild.
6,Snow Leopard,雪豹,Panthera uncia,Mammal,Vulnerable,National Level I,"Tibet, Qinghai, Xinjiang, Gansu, Sichuan",36,90,"High mountain ranges, 3000-5500m elevation",2015,2200,stable,10,estimate,"Habitat degradation, Prey depletion, Retaliatory killing, Poaching","Nature reserves, Community-based conservation, Anti-poaching patrols",Lives in some of Earth's highest mountains. China hosts significant portion of global population. Elusive and rarely seen in wild.
6,Snow Leopard,雪豹,Panthera uncia,Mammal,Vulnerable,National Level I,"Tibet, Qinghai, Xinjiang, Gansu, Sichuan",36,90,"High mountain ranges, 3000-5500m elevation",2020,2300,stable,15,estimate,"Habitat degradation, Prey depletion, Retaliatory killing, Poaching","Nature reserves, Community-based conservation, Anti-poaching patrols, Camera trap monitoring",Lives in some of Earth's highest mountains. China hosts significant portion of global population. Elusive and rarely seen in wild.
6,Snow Leopard,雪豹,Panthera uncia,Mammal,Vulnerable,National Level I,"Tibet, Qinghai, Xinjiang, Gansu, Sichuan",36,90,"High mountain ranges, 3000-5500m elevation",2023,2400,stable,20,estimate,"Habitat degradation, Prey depletion, Retaliatory killing, Poaching","Nature reserves, Community-based conservation, Anti-poaching patrols, Camera trap monitoring",Lives in some of Earth's highest mountains. China hosts significant portion of global population. Elusive and rarely seen in wild.
7,Chinese Alligator,扬子鳄,Alligator sinensis,Reptile,Critically Endangered,National Level I,"Anhui, Zhejiang",30.5,118.5,"Freshwater rivers, lakes, ponds in subtropical lowlands",2005,120,stable,0,estimate,"Habitat loss, Agricultural conversion, Pollution, Limited range","Nature reserves, Captive breeding, Reintroduction programs",World's smallest alligator species and most endangered. Endemic to Yangtze River valley. Wild population extremely small.
7,Chinese Alligator,扬子鳄,Alligator sinensis,Reptile,Critically Endangered,National Level I,"Anhui, Zhejiang",30.5,118.5,"Freshwater rivers, lakes, ponds in subtropical lowlands",2010,130,increasing,8.3,estimate,"Habitat loss, Agricultural conversion, Pollution, Limited range","Nature reserves, Captive breeding, Reintroduction programs",World's smallest alligator species and most endangered. Endemic to Yangtze River valley. Wild population extremely small.
7,Chinese Alligator,扬子鳄,Alligator sinensis,Reptile,Critically Endangered,National Level I,"Anhui, Zhejiang",30.5,118.5,"Freshwater rivers, lakes, ponds in subtropical lowlands",2015,150,increasing,25,estimate,"Habitat loss, Agricultural conversion, Pollution, Limited range","Nature reserves, Captive breeding, Reintroduction programs",World's smallest alligator species and most endangered. Endemic to Yangtze River valley. Wild population extremely small.
7,Chinese Alligator,扬子鳄,Alligator sinensis,Reptile,Critically Endangered,National Level I,"Anhui, Zhejiang",30.5,118.5,"Freshwater rivers, lakes, ponds in subtropical lowlands",2020,180,increasing,50,estimate,"Habitat loss, Agricultural conversion, Pollution, Limited range","Nature reserves, Captive breeding, Reintroduction programs, Habitat restoration",World's smallest alligator species and most endangered. Endemic to Yangtze River valley. Wild population extremely small.
7,Chinese Alligator,扬子鳄,Alligator sinensis,Reptile,Critically Endangered,National Level I,"Anhui, Zhejiang",30.5,118.5,"Freshwater rivers, lakes, ponds in subtropical lowlands",2023,200,increasing,66.7,estimate,"Habitat loss, Agricultural conversion, Pollution, Limited range","Nature reserves, Captive breeding, Reintroduction programs, Habitat restoration",World's smallest alligator species and most endangered. Endemic to Yangtze River valley. Wild population extremely small.
8,Asian Elephant,亚洲象,Elephas maximus,Mammal,Endangered,National Level I,"Yunnan (Xishuangbanna, Simao, Lincang)",22,100.5,"Tropical forests, grasslands in southern Yunnan",2005,250,declining,0,estimate,"Habitat loss, Human-elephant conflict, Fragmentation","Nature reserves, Elephant corridors, Human-elephant coexistence programs",China's largest terrestrial mammal. Population confined to southern Yunnan near borders. Faces severe habitat pressure.
8,Asian Elephant,亚洲象,Elephas maximus,Mammal,Endangered,National Level I,"Yunnan (Xishuangbanna, Simao, Lincang)",22,100.5,"Tropical forests, grasslands in southern Yunnan",2010,270,increasing,8,estimate,"Habitat loss, Human-elephant conflict, Fragmentation","Nature reserves, Elephant corridors, Human-elephant coexistence programs",China's largest terrestrial mammal. Population confined to southern Yunnan near borders. Faces severe habitat pressure.
8,Asian Elephant,亚洲象,Elephas maximus,Mammal,Endangered,National Level I,"Yunnan (Xishuangbanna, Simao, Lincang)",22,100.5,"Tropical forests, grasslands in southern Yunnan",2015,280,increasing,12,estimate,"Habitat loss, Human-elephant conflict, Fragmentation","Nature reserves, Elephant corridors, Human-elephant coexistence programs",China's largest terrestrial mammal. Population confined to southern Yunnan near borders. Faces severe habitat pressure.
8,Asian Elephant,亚洲象,Elephas maximus,Mammal,Endangered,National Level I,"Yunnan (Xishuangbanna, Simao, Lincang)",22,100.5,"Tropical forests, grasslands in southern Yunnan",2020,300,increasing,20,confirmed,"Habitat loss, Human-elephant conflict, Fragmentation","Nature reserves, Elephant corridors, Human-elephant coexistence programs, Monitoring systems",China's largest terrestrial mammal. Population confined to southern Yunnan near borders. Faces severe habitat pressure.
8,Asian Elephant,亚洲象,Elephas maximus,Mammal,Endangered,National Level I,"Yunnan (Xishuangbanna, Simao, Lincang)",22,100.5,"Tropical forests, grasslands in southern Yunnan",2023,300,stable,20,confirmed,"Habitat loss, Human-elephant conflict, Fragmentation","Nature reserves, Elephant corridors, Human-elephant coexistence programs, Monitoring systems",China's largest terrestrial mammal. Population confined to southern Yunnan near borders. Faces severe habitat pressure.
9,Tibetan Antelope,藏羚羊,Pantholops hodgsonii,Mammal,Near Threatened,National Level I,"Tibet, Qinghai, Xinjiang",35,85,"High-altitude grasslands and steppes, 3700-5500m",2005,75000,increasing,0,estimate,"Poaching for wool (shahtoosh), Habitat disturbance, Infrastructure development","Hoh Xil Nature Reserve, Anti-poaching patrols, Trade ban enforcement",Lives on Tibetan Plateau. Once heavily poached for extremely fine wool. Strong recovery due to protection efforts.
9,Tibetan Antelope,藏羚羊,Pantholops hodgsonii,Mammal,Near Threatened,National Level I,"Tibet, Qinghai, Xinjiang",35,85,"High-altitude grasslands and steppes, 3700-5500m",2010,100000,increasing,33.3,estimate,"Poaching for wool (shahtoosh), Habitat disturbance, Infrastructure development","Hoh Xil Nature Reserve, Anti-poaching patrols, Trade ban enforcement",Lives on Tibetan Plateau. Once heavily poached for extremely fine wool. Strong recovery due to protection efforts.
9,Tibetan Antelope,藏羚羊,Pantholops hodgsonii,Mammal,Near Threatened,National Level I,"Tibet, Qinghai, Xinjiang",35,85,"High-altitude grasslands and steppes, 3700-5500m",2015,150000,increasing,100,confirmed,"Poaching for wool (shahtoosh), Habitat disturbance, Infrastructure development","Hoh Xil Nature Reserve, Anti-poaching patrols, Trade ban enforcement",Lives on Tibetan Plateau. Once heavily poached for extremely fine wool. Strong recovery due to protection efforts.
9,Tibetan Antelope,藏羚羊,Pantholops hodgsonii,Mammal,Near Threatened,National Level I,"Tibet, Qinghai, Xinjiang",35,85,"High-altitude grasslands and steppes, 3700-5500m",2020,180000,increasing,140,estimate,"Poaching for wool (shahtoosh), Habitat disturbance, Infrastructure development","Hoh Xil Nature Reserve, Anti-poaching patrols, Trade ban enforcement, UNESCO World Heritage protection",Lives on Tibetan Plateau. Once heavily poached for extremely fine wool. Strong recovery due to protection efforts.
9,Tibetan Antelope,藏羚羊,Pantholops hodgsonii,Mammal,Near Threatened,National Level I,"Tibet, Qinghai, Xinjiang",35,85,"High-altitude grasslands and steppes, 3700-5500m",2023,200000,increasing,166.7,estimate,"Poaching for wool (shahtoosh), Habitat disturbance, Infrastructure development","Hoh Xil Nature Reserve, Anti-poaching patrols, Trade ban enforcement, UNESCO World Heritage protection",Lives on Tibetan Plateau. Once heavily poached for extremely fine wool. Strong recovery due to protection efforts.
10,Hainan Gibbon,海南长臂猿,Nomascus hainanus,Mammal,Critically Endangered,National Level I,Hainan Island,19.2,109.7,Tropical rainforests of Hainan Island,2005,13,stable,0,confirmed,"Habitat loss, Extremely small population, Limited genetic diversity, Forest fragmentation","Bawangling National Nature Reserve, Habitat restoration, Monitoring programs","World's rarest primate. Found only on Hainan Island. Population dropped from 2,000 in 1950s to fewer than 40 individuals today."
10,Hainan Gibbon,海南长臂猿,Nomascus hainanus,Mammal,Critically Endangered,National Level I,Hainan Island,19.2,109.7,Tropical rainforests of Hainan Island,2010,25,increasing,92.3,confirmed,"Habitat loss, Extremely small population, Limited genetic diversity, Forest fragmentation","Bawangling National Nature Reserve, Habitat restoration, Monitoring programs","World's rarest primate. Found only on Hainan Island. Population dropped from 2,000 in 1950s to fewer than 40 individuals today."
10,Hainan Gibbon,海南长臂猿,Nomascus hainanus,Mammal,Critically Endangered,National Level I,Hainan Island,19.2,109.7,Tropical rainforests of Hainan Island,2015,28,increasing,115.4,confirmed,"Habitat loss, Extremely small population, Limited genetic diversity, Forest fragmentation","Bawangling National Nature Reserve, Habitat restoration, Monitoring programs","World's rarest primate. Found only on Hainan Island. Population dropped from 2,000 in 1950s to fewer than 40 individuals today."
10,Hainan Gibbon,海南长臂猿,Nomascus hainanus,Mammal,Critically Endangered,National Level I,Hainan Island,19.2,109.7,Tropical rainforests of Hainan Island,2020,33,increasing,153.8,confirmed,"Habitat loss, Extremely small population, Limited genetic diversity, Forest fragmentation","Bawangling National Nature Reserve, Habitat restoration, Monitoring programs, Forest corridor creation","World's rarest primate. Found only on Hainan Island. Population dropped from 2,000 in 1950s to fewer than 40 individuals today."
10,Hainan Gibbon,海南长臂猿,Nomascus hainanus,Mammal,Critically Endangered,National Level I,Hainan Island,19.2,109.7,Tropical rainforests of Hainan Island,2023,37,increasing,184.6,confirmed,"Habitat loss, Extremely small population, Limited genetic diversity, Forest fragmentation","Bawangling National Nature Reserve, Habitat restoration, Monitoring programs, Forest corridor creation","World's rarest primate. Found only on Hainan Island. Population dropped from 2,000 in 1950s to fewer than 40 individuals today."
